ranking,name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
13,The Door of Dimension,https://lh3.googleusercontent.com/AX_uuKN-OFhtHXtzw5PJ3K-bGW5tg2svacBEv8xO_ii3UCEo6UTjqec4MiXFGP3gsxPD-p-W0d315pEvIOxG3pKNWfT3G8KvAgIl=s120,KLAY,1530,2763,9977,-0.18633704473094,441394.5818987,1.92681927354622,187744.136474261,0,2231577.47838876
14,KlayCity MintPasses - Burned,https://lh3.googleusercontent.com/QJgoaGpc1G1Diea0vFP7JImvBF8F7OczTxdhHMUR1F439HNUooSdQxMhvRGwCPcFjJg9iERKqk4Lvz7qzxqBzQhqMKW925mPxKyJ=s120,KLAY,,671,935,-1,0,0,0,0,1498226.84273417
15,Age of Zen Heroes,https://lh3.googleusercontent.com/QhJRxfPxuXtm_KMuEkKDGskrsFSI8pC1mbTzpzx0q1Lr92C4IEJ6Ne_e4Wkht0rDphqzsLJP4mYW1eo8B5GBhE8vElzGWKtDveVqCQ=s120,KLAY,190,2430,7777,-0.798342210169216,29958.1165264467,0.983445421624417,7606.10549418392,0,1485337.08714385
16,Drawshop Kingdom Reverse,https://lh3.googleusercontent.com/ZTk3z-AbXhHiUYi2krQgohfRkgsHeNz-F5_sk4U16_dgC3yxOdYpIx7xtrbY7hUKLolgz0tH5v0ezcQOAkHBKo5hfef1ZMJHR2CtjQk=s120,KLAY,11,1347,14222,0.163918112398464,163883.9342129,0.993984069797982,16793.840515034,34.8210885824117,1408097.70173864
17,Crypto SE7EN Society,https://lh3.googleusercontent.com/K2uYT-3mDPE4e6J7ByE63dV7jb7iKi634DIeNfdGNSAn6BEFs8ljqQknqDpFNPR_iDJCChKk--9K1AejsBbmuzQUxBqZSeEmmZG_63g=s120,KLAY,225,668,6873,-0.661549740801536,51743.9349379375,-0.37154314159292,9016.62740507718,0,1070518.26373116
18,renaissance-nft,https://lh3.googleusercontent.com/Ts5XfL9pWuVw2dE5CT9vxO4s0QLM2MGK028Xel22ZFCDTS_XYuRoY7jxN2awAYnibMHQtBwC7pckuUKTvl888lcQkQIndkGsXR1I=s120,KLAY,685,753,3094,-0.136684484649123,50412.1186626674,0.577409638554217,5239.29877825737,0.572409586881715,1611365.45203892
19,CYE ChuchuCAT V0,https://lh3.googleusercontent.com/bSq3kivPSaYTnfuGIgZYVcLsgImG4MZaiy7uNogj4q2EbDEtr9qNr-gy6DonP2V3qgjP7ypFsom0JKrF1PscJD8wJNdWT53Dm6xTFJQ=s120,KLAY,427,1199,3504,-0.044630440944286,114490.734323408,0.803905982320291,26111.9149023337,3482.18629684815,984977.860268239
20,Re-Be World Land,https://lh3.googleusercontent.com/-I8fXkUyg8sBGPmWFkwaoNVfJ8Ah9afvJbt0ME9hWTpkFJw3WunWqXjjnCPTcniFNc7loNNT437kKv94LMHyXDuKSY6GMD2sJHEK=s120,KLAY,419,1424,6000,-0.472016815991558,46911.9580371156,1.10679898770788,2890.18419362548,7.59603889943544,1236442.49586736
21,META RABBITS OFFICIAL V1,https://lh3.googleusercontent.com/yKETJAg4En27JZdE48r0CF6X4oswkWUAfThZ3XJh3a9A4h74shln__qvhN8h3PNVWPDHhSb-1N3jaRKJrvOsOSW34XrpwJjCHCfx=s120,KLAY,255,805,5492,-0.556054726262057,35909.4944081254,0.413260286225402,6413.18997000512,1.10252936511584,1377471.97851469
22,LARVA-OFFICIAL,https://lh3.googleusercontent.com/bIOycpBh_zsAPkyALAypClW4krCRg59qvylGApGDRRHNH2UHMSKQq6G4iO_L1rPvEpQjujYzJv5Aucc9sDFpB4Bv4vttF9cK7xko=s120,KLAY,299,3217,9997,-0.740489674704535,178241.156749824,0.183647504588242,19831.6107308508,0,865077.630585258
23,SE7EN-VIAL,https://lh3.googleusercontent.com/4Jrk8Y_VEzcIuWwVp9s5PX-c5zdvUyAaA8Y3tLQyBWAa9iloIbrLjvyKuvUlBA-C821yNb3HQWAvbd0WbiY_58GE7rtOId6Q9FouyWA=s120,KLAY,445,770,7767,-0.6875,507.364596288439,0,0,1.36851784677177,1200124.51501163
24,My Fat Babiz,https://lh3.googleusercontent.com/PQz5C64nVft1p9-WWtXbDupnYbpzYTDd5jDnndK0SafevTj5VkFFa51BGmbklQt1YdNbPL7gy_6ZnWk2picW51HqJ2n03VSktEqkDSg=s120,KLAY,152,517,9200,-0.713784020700219,58722.9070000001,-0.48724038886434,9283,0.519439494015843,1100463.687601
25,Angry Polar Bears,https://lh3.googleusercontent.com/sUeYMmIweh32MmnE12UIUT30kQdwkWrcWfignVUG6Svup8m-MDJacnaU_lYzT64IUoG0rnwbua64Gb-VBqNOcul-AyYnzcCi47Cjmg=s120,KLAY,89,1668,8969,-0.565629555830947,38404.5637593581,0.764836941627842,6387.90854341941,0,586166.702239625
26,KLAY APE CLUB,https://lh3.googleusercontent.com/75B-5EyX6JD94YaePcqZqR9lo-euI_Z5uspmNCNXt27oO0ipAv1YQUb7wj0rydtHGLU2d_n5btI_wzNWxu-cgQsdDrnEyGpVNAwSZg=s120,KLAY,399,1255,10000,4.32929313857523,153085.272173044,-0.606511159590535,11629.3663033141,0.383254624825924,1311729.77370133
27,Gaia Kronos,https://lh3.googleusercontent.com/4i1fVTYmdwPIYeLpbFdykieHtWBz_DqY_-JAgrgPzQ8AxtXjZBSEfg1JbHPCsdnOTt8J4ip6NFF9306IA7GsPC4Xw_SvnYAyjO5XzQ=s120,KLAY,2080,761,2177,0.442947220724998,167294.643743751,0.374056347757438,27623.2167190967,5.96094931921333,584607.767942059
